category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
crib,233,5,5,21.51421861679904,7.145946874996756,19.853199168330185,12.23493976899807,7976,38.0,23.0,15.0,dinov3
grass,64,5,5,21.80729464026424,10.346301820480498,17.678015584564626,11.796640178004631,3803,37.0,41.0,-4.0,dinov3
fork,216,5,5,21.94153445657631,7.2555621486567,20.29806989264216,12.11473605537276,7869,36.0,28.0,8.0,dinov3
watch,136,5,5,22.037803452625354,10.517676547337022,19.220418967401788,11.23039893941498,3070,35.0,63.0,-28.0,dinov3
dog,224,5,5,22.38796261206546,7.218805985511799,21.058717548627065,13.310734721439896,4205,34.0,3.0,31.0,dinov3
clock,194,5,5,22.395252503441377,9.52053192669316,21.5444805153303,12.375723332156989,10895,33.0,19.0,14.0,dinov3
nose,196,5,5,22.418287978266164,6.1425833362593645,21.467136550194617,11.041937959042704,859,32.0,70.0,-38.0,dinov3
sock,203,5,5,22.791534854275085,7.424061061398248,20.60940968341996,11.325338490144125,3368,31.0,61.0,-30.0,dinov3
tooth,137,5,5,22.99036307449732,8.901438367895429,20.25114326116824,9.221043593173324,410,30.0,84.0,-54.0,dinov3
vacuum,218,5,5,23.061649486181494,6.802320025329921,21.23599150530154,12.110064057382136,4433,29.0,30.0,-1.0,dinov3
doll,204,5,5,23.10656635572697,6.103905639282253,21.922031155753285,11.665689042427276,3809,28.0,44.0,-16.0,dinov3
sweater,133,5,5,24.231683966230708,6.539457770128512,23.08868184672451,11.018877769196322,989,27.0,73.0,-46.0,dinov3
dress,124,5,5,24.32111365801952,6.565954723429219,22.228842598642952,11.312997860675733,1087,26.0,62.0,-36.0,dinov3
ear,125,5,5,24.3316208358242,5.633273706583816,24.018502431415165,9.975481545876232,298,25.0,82.0,-57.0,dinov3
face,154,5,5,24.71890871475172,6.571352793080232,23.303716317541344,10.709669440210794,557,24.0,79.0,-55.0,dinov3
mouth,122,5,5,25.098065644965413,6.89921423389226,24.679768553538384,9.877666019182923,318,23.0,83.0,-60.0,dinov3
stroller,166,5,5,25.20420945387392,8.348572907125476,24.138040542156908,10.723557278888082,9463,22.0,78.0,-56.0,dinov3
closet,171,5,5,25.46512783250731,7.288169199389503,24.53713632367181,11.58221073093359,1529,21.0,51.0,-30.0,dinov3
foot,158,5,5,25.512094416641585,6.921505304705975,24.414067768638112,11.346286955871363,728,20.0,59.0,-39.0,dinov3
jacket,181,5,5,25.60613645577356,6.598968241640969,24.492568145916238,11.78302199104422,1252,19.0,42.0,-23.0,dinov3
necklace,193,5,5,26.30231383308392,6.46130920967179,25.80905009951976,11.5939056389238,3668,18.0,50.0,-32.0,dinov3
flower,189,5,5,26.664837692061894,7.8932917379007135,26.487072003506324,11.64776104602304,6433,17.0,45.0,-28.0,dinov3
slide,187,5,5,26.85666872718339,7.022417394820484,26.20426154909129,11.850101072478555,5723,16.0,38.0,-22.0,dinov3
car,200,5,5,26.90909041483297,6.445015414520683,26.238705028721053,13.492783696207171,2323,15.0,2.0,13.0,dinov3
glass,145,5,5,28.26701886230637,6.383942646566728,26.93457199779005,12.532044638812918,832,14.0,15.0,-1.0,dinov3
eye,76,5,5,28.505663340183087,5.977903128344392,27.458089593464894,11.03885194905706,182,13.0,71.0,-58.0,dinov3
jar,155,5,5,29.416445095888225,6.44648265435825,28.181238973939827,12.57530412595964,2155,12.0,14.0,-2.0,dinov3
tree,108,5,5,29.42016971172989,6.002692067792268,29.190441651901224,13.04737625297955,1929,11.0,4.0,7.0,dinov3
butterfly,50,5,5,29.96404175690964,7.520173400224745,30.075176316305168,10.302525365527805,386,10.0,81.0,-71.0,dinov3
shower,87,5,5,32.118038106012804,7.359961170400963,33.15085831016415,11.644193107062293,296,9.0,46.0,-37.0,dinov3
pony,60,5,5,32.17667379219882,7.128569932296813,33.24739824421701,12.004320589923257,244,8.0,32.0,-24.0,dinov3
cracker,80,5,5,33.591744951607,5.429382376089934,32.68132923064789,12.361219931556768,514,7.0,20.0,-13.0,dinov3
rock,30,5,5,33.76021491569057,8.124108361637662,34.375100630099176,11.611240570221169,254,6.0,48.0,-42.0,dinov3
scarf,58,5,5,35.06659466104371,6.158254177531472,37.45793440929307,11.029730619568538,338,5.0,72.0,-67.0,dinov3
dish,64,5,5,35.73000194304852,7.476074762610007,36.667288080956695,8.675882698254403,986,4.0,85.0,-81.0,dinov3
swing,24,5,5,36.6827695684867,5.383930407939783,35.891194788542194,12.848097292672534,223,3.0,5.0,-2.0,dinov3
bird,91,5,5,36.8555139824642,5.986378653102961,37.28625314568751,13.597389307273918,375,2.0,1.0,1.0,dinov3
stick,33,5,5,38.49655278137707,4.808149217772807,39.290882299002575,11.907789224446086,79,1.0,35.0,-34.0,dinov3
