subject_id,category
00560001,gum
00560001,toy
00560001,doll
00560001,mitten
00560001,glove
00560001,sock
00560001,purse
00560001,pillow
00560001,towel
00560001,napkin
00560001,blanket
00560001,pajamas
00560001,bib
00560001,sweater
00560001,shirt
00560001,pants
