class_name,subject_id,age_mo,num_detected,num_frames
alligator,recVizCjdU71xWg7E,20,0,297
alligator,recxPupsY5Np2yVAd,8,32,6059
alligator,recxPupsY5Np2yVAd,9,195,25864
alligator,recxPupsY5Np2yVAd,10,69,11895
alligator,recxPupsY5Np2yVAd,11,176,21003
alligator,recxPupsY5Np2yVAd,12,265,20392
alligator,recxPupsY5Np2yVAd,13,261,29544
alligator,recxPupsY5Np2yVAd,14,178,24767
alligator,recxPupsY5Np2yVAd,15,236,18305
alligator,recxPupsY5Np2yVAd,16,236,28031
alligator,recxPupsY5Np2yVAd,17,216,21560
alligator,recxPupsY5Np2yVAd,18,110,24632
alligator,recxPupsY5Np2yVAd,19,62,15943
alligator,recxPupsY5Np2yVAd,20,19,11940
alligator,recyCHTCOGMZQJSAR,9,32,9963
alligator,recyCHTCOGMZQJSAR,10,38,12189
alligator,recyCHTCOGMZQJSAR,11,5,4139
