subject_id,category,stratum,cdi_domain,age_from,age_to,age_midpoint,centroid_displacement,dispersion_from,dispersion_to,dispersion_delta,n_crops_from,n_crops_to
00400002,cup,kitchen_like,household,15,16,15.5,0.12842978826920182,0.32457013987968436,0.3394820030443305,0.014911863164646155,256,152
00400002,cup,kitchen_like,household,16,17,16.5,0.28424973866911807,0.3394820030443305,0.44449524590039496,0.10501324285606445,152,73
00400002,cup,kitchen_like,household,17,18,17.5,0.18557159894534225,0.44449524590039496,0.4331827120593157,-0.011312533841079275,73,82
00400002,cup,kitchen_like,household,18,19,18.5,0.21822717207281128,0.4331827120593157,0.41586580293597186,-0.017316909123343827,82,100
00400002,cup,kitchen_like,household,19,20,19.5,0.21379506380170232,0.41586580293597186,0.48272900867779334,0.06686320574182147,100,50
00400002,cup,kitchen_like,household,20,21,20.5,0.3689904603367762,0.48272900867779334,0.36473224758051065,-0.11799676109728269,50,256
00400002,cup,kitchen_like,household,21,22,21.5,0.1272874919787469,0.36473224758051065,0.14030516651376929,-0.22442708106674136,256,256
00400002,cup,kitchen_like,household,22,23,22.5,0.19284504189034446,0.14030516651376929,0.38352803719377604,0.24322287068000675,256,256
00400002,cup,kitchen_like,household,23,24,23.5,0.39899157572071076,0.38352803719377604,0.2730709620591455,-0.11045707513463054,256,197
00400002,cup,living_room,household,15,16,15.5,0.25168182961195573,0.3999569260568748,0.4727940951303194,0.07283716907344462,165,13
00400002,cup,living_room,household,16,17,16.5,0.31384335284470466,0.4727940951303194,0.4582059636048643,-0.014588131525455073,13,69
00400002,cup,living_room,household,17,18,17.5,0.3427373891653669,0.4582059636048643,0.4531839095415849,-0.005022054063279435,69,26
00400002,cup,living_room,household,18,19,18.5,0.24781029732903614,0.4531839095415849,0.41954840699152357,-0.033635502550061314,26,61
00400002,cup,living_room,household,19,20,19.5,0.4189735488839137,0.41954840699152357,0.29162538482418876,-0.1279230221673348,61,233
00400002,cup,living_room,household,20,21,20.5,0.5750349194676492,0.29162538482418876,0.38746944606270894,0.09584406123852018,233,33
00400002,cup,living_room,household,21,22,21.5,0.4210665129194906,0.38746944606270894,0.411283053283547,0.02381360722083803,33,42
